elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,human toxicity: carcinogenic|comparative toxic unit for human (CTUh),human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe)
7fa8cd55-0c43-5f67-aaaf-059ad2dcb422,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",Soil,continental natural soil,kg,mapped,6.864837741183914e-08,9.555981746664376e-06,5.724173463932286
9b513ff5-5f93-5bfe-9a74-385c8ccb657c,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,water,surface water,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",Water,continental freshwater,kg,mapped,1.393549364649723e-07,1.939846620376475e-05,45.70207764814788
5cf66c46-55a2-514e-a6ec-806927049896,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",Water,continental freshwater,kg,mapped,1.393549364649723e-07,1.939846620376475e-05,45.70207764814788
053bc905-96bd-52d2-844d-38101708c9ac,"1,3,5-Trioxane",000110-88-3,C3H6O3,,air,non-urban air or from high stacks,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",Air,continental rural air,kg,mapped,0.0,0.0,0.01853168512194429
f88c472f-8e32-5403-949d-89711b592964,"1,3,5-Trioxane",000110-88-3,C3H6O3,,air,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",Air,urban air,kg,mapped,0.0,0.0,0.01865767962798871
52c71a8c-4002-5f66-909d-904fa365b897,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,agricultural,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",Soil,continental agricultural soil,kg,mapped,0.0,0.0,0.2162760757117748
8e9420b9-8ee0-5056-8eeb-12e472319fbc,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,forestry,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",Soil,continental natural soil,kg,mapped,0.0,0.0,0.2162760946577854
3ddfe0c0-f950-5ca5-b1ea-0a159d6b2944,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",Soil,continental natural soil,kg,mapped,0.0,0.0,0.2162760946577854
a028f9da-dc5e-5c37-9961-536d62fc5654,"1,3,5-Trioxane",000110-88-3,C3H6O3,,water,surface water,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",Water,continental freshwater,kg,mapped,0.0,0.0,0.9354108120443301
6cbb94bd-88e1-549a-877e-2cd1a9f19b7b,"1,3,5-Trioxane",000110-88-3,C3H6O3,,water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",Water,continental freshwater,kg,mapped,0.0,0.0,0.9354108120443301
1a5ef7d9-150d-4c9f-a709-fc2423a1d4db,"1,3-Dichloropropene",000542-75-6,C3H4Cl2,"1,3-dichloroprop-1-ene; Dichloropropene",soil,agricultural,kg,"mapped: name, stripped, CAS",,1.0,,"1,3-dichloropropene",Soil,continental agricultural soil,kg,mapped,2.577072920981246e-07,9.950256302514881e-06,49.43506587228187
d21da01e-f96f-4db5-9746-7b70db8a1f2c,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,"low population density, long-term",kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Air,continental rural air,kg,mapped,0.0,0.0,1.837174487592128
83bafcf1-2f2e-4a32-89a0-f1f16ca10626,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,non-urban air or from high stacks,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Air,continental rural air,kg,mapped,0.0,0.0,1.837174487592128
09db39be-d9a6-4fc3-8d25-1f80b23e9131,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Air,urban air,kg,mapped,0.0,0.0,2.28288201394236
38a622c6-f086-4763-a952-7c6b3b1c42ba,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,urban air close to ground,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Air,urban air,kg,mapped,0.0,0.0,2.28288201394236
c5de5e4d-85cf-4102-9ff1-5248d8928ba1,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,ground-,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Water,continental freshwater,kg,mapped,0.0,0.0,7.305519383221466
564dde7f-e713-4baf-84aa-7a11ffa7e2cd,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,"ground-, long-term",kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Water,continental freshwater,kg,mapped,0.0,0.0,7.305519383221466
aae8aac7-b81d-41e4-b356-912b369d1c55,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,ocean,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Water,continental sea water,kg,mapped,0.0,0.0,2.677989447567382e-06
d6911d36-3fec-41fe-8ef9-540f6543a240,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,surface water,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Water,continental freshwater,kg,mapped,0.0,0.0,7.305519383221466
d835b7aa-288b-4b3a-966b-3f64f36ed220,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",Water,continental freshwater,kg,mapped,0.0,0.0,7.305519383221466
13d7e871-6e20-4357-a0c1-73b4739947ca,"1,4-Dichloro-2-butene",000764-41-0,C4H6Cl2,"1,4-dichlorobut-2-ene",water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-dichloro-2-butene",Water,continental freshwater,kg,mapped,5.459710413164119e-05,0.0,0.0
377e0c47-28cc-4280-b790-0b4601340748,"1,4-Diethylbenzene",000105-05-5,C10H14,,water,unspecified,kg,ecoinvent orphan,,,,,,,,,,,
485165cd-8858-47a9-8dd8-a1590a98b296,"1,4-Diisopropylbenzene",000100-18-5,C12H18,,air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,
