elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,total|UBP,"water use|water resources, evaporated",energy resources|energy resources,mineral resources|mineral resources,land use|land use,climate change|global warming potential (GWP100),ozone depletion|ozone depletion,emissions to air|air pollutants and PM,emissions to air|carcinogenic substances into air,emissions to air|heavy metals into air,emissions to water|water pollutants,emissions to water|POP into water,emissions to water|heavy metals into water,emissions to soil|pesticides into soil,emissions to soil|heavy metals into soil,emissions to air|radioactive substances into air,emissions to water|radioactive substances into water,"waste disposal|waste, non radioactive",waste disposal|radioactive waste to deposit,natural resources|biotic resources
1e060d5a-cd41-4f30-9c93-272403b7e004,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, cfc-114",air,"low population density, long-term",kg,mapped,25000000.0,,,,,,25000000.0,,,,,,,,,,,,,
1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, cfc-114",air,low population density,kg,mapped,25000000.0,,,,,,25000000.0,,,,,,,,,,,,,
8a3a44e4-e2f1-476d-9e9e-a90fda263fe3,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, cfc-114",air,unspecified,kg,mapped,25000000.0,,,,,,25000000.0,,,,,,,,,,,,,
3b30d058-02ef-4ed2-b357-5fc1a45c63e7,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, cfc-114",air,high population density,kg,mapped,25000000.0,,,,,,25000000.0,,,,,,,,,,,,,
53f2422a-4ab1-56cc-a9a9-6136f06bcb3f,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,air,non-urban air or from high stacks,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39f4a569-c774-502f-ab05-f74898971140,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd08da54-895f-5271-a897-2e7441abe4b7,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,agricultural,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2adb177-e77e-5b61-b2fd-878e013b8111,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,forestry,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fa8cd55-0c43-5f67-aaaf-059ad2dcb422,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b513ff5-5f93-5bfe-9a74-385c8ccb657c,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,water,surface water,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cf66c46-55a2-514e-a6ec-806927049896,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,water,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053bc905-96bd-52d2-844d-38101708c9ac,"1,3,5-Trioxane",000110-88-3,C3H6O3,,air,non-urban air or from high stacks,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f88c472f-8e32-5403-949d-89711b592964,"1,3,5-Trioxane",000110-88-3,C3H6O3,,air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52c71a8c-4002-5f66-909d-904fa365b897,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,agricultural,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e9420b9-8ee0-5056-8eeb-12e472319fbc,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,forestry,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ddfe0c0-f950-5ca5-b1ea-0a159d6b2944,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
