elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,acidification|accumulated exceedance (AE),climate change|global warming potential (GWP100),climate change: biogenic|global warming potential (GWP100),climate change: fossil|global warming potential (GWP100),climate change: land use and land use change|global warming potential (GWP100),particulate matter formation|impact on human health,ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe),"ecotoxicity: freshwater, inorganics|comparative toxic unit for ecosystems (CTUe)","ecotoxicity: freshwater, organics|comparative toxic unit for ecosystems (CTUe)",eutrophication: marine|fraction of nutrients reaching marine end compartment (N),eutrophication: freshwater|fraction of nutrients reaching freshwater end compartment (P),eutrophication: terrestrial|accumulated exceedance (AE),human toxicity: carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: carcinogenic, organics|comparative toxic unit for human (CTUh)",human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: non-carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: non-carcinogenic, organics|comparative toxic unit for human (CTUh)",ionising radiation: human health|human exposure efficiency relative to u235,land use|soil quality index,ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation: human health|tropospheric ozone concentration increase,energy resources: non-renewable|abiotic depletion potential (ADP): fossil fuels,material resources: metals/minerals|abiotic depletion potential (ADP): elements (ultimate reserves),water use|user deprivation potential (deprivation-weighted water consumption)
1c4a106a-53bc-40f5-bcae-d30ab191dbfe,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,08a91e70-3ddc-11dd-930c-0050c2490048,hfc-152a,Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,164.0,,164.0,,,0.53754,,0.53754,,,,,,,1.7919e-10,,1.7919e-10,,,,,,,
9cf9bf0e-86fe-42c0-90cc-bfed96fbdc8f,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,08a91e70-3ddc-11dd-9309-0050c2490048,hfc-152a,Emissions to air,"Emissions to air, unspecified",kg,mapped,,164.0,,164.0,,,0.53762,,0.53762,,,,,,,2.0924e-10,,2.0924e-10,,,,,,,
393d0862-04cc-45ae-8d08-9dc2a4461b35,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,08a91e70-3ddc-11dd-930b-0050c2490048,hfc-152a,Emissions to air,Emissions to urban air close to ground,kg,mapped,,164.0,,164.0,,,0.53771,,0.53771,,,,,,,2.3929e-10,,2.3929e-10,,,,,,,
5124d526-1e07-5283-bb10-b933def7bfde,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,non-urban air or from high stacks,kg,"mapped: name, stripped, CAS",,1.0,fe0acd60-3ddc-11dd-a2a8-0050c2490048,"1,2-benzisothiazolin-3-one",Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,,,,,,1464.2,,1464.2,,,,,,,,,,,,,,,,
5fafa58a-2557-5b83-a985-6419209af7f2,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,unspecified,kg,"mapped: name, stripped, CAS",,1.0,fe0acd60-3ddc-11dd-a2a5-0050c2490048,"1,2-benzisothiazolin-3-one",Emissions to air,"Emissions to air, unspecified",kg,mapped,,,,,,,1585.4,,1585.4,,,,,,,,,,,,,,,,
4e53e939-67c1-550e-8c74-d5953a6be829,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,agricultural,kg,"mapped: name, stripped, CAS",,1.0,fe0acd60-3ddc-11dd-a2a3-0050c2490048,"1,2-benzisothiazolin-3-one",Emissions to soil,Emissions to agricultural soil,kg,mapped,,,,,,,4017.3,,4017.3,,,,,,,,,,,,,,,,
a6106254-94d3-567a-9975-90d379eebef9,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,forestry,kg,"mapped: name, stripped, CAS",,1.0,fe0acd60-3ddc-11dd-a2ac-0050c2490048,"1,2-benzisothiazolin-3-one",Emissions to soil,Emissions to non-agricultural soil,kg,mapped,,,,,,,4017.3,,4017.3,,,,,,,,,,,,,,,,
10c8aa9c-21f2-5d16-9771-8b38f3ec93e0,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,unspecified,kg,"mapped: name, stripped, CAS",,1.0,fe0acd60-3ddc-11dd-a2a4-0050c2490048,"1,2-benzisothiazolin-3-one",Emissions to soil,"Emissions to soil, unspecified",kg,mapped,,,,,,,4017.3,,4017.3,,,,,,,,,,,,,,,,
9a55ac3c-4807-534b-8928-d3ff42dbb815,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,surface water,kg,"mapped: name, stripped, CAS",,1.0,fe0acd60-3ddc-11dd-a2a9-0050c2490048,"1,2-benzisothiazolin-3-one",Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,26344.0,,26344.0,,,,,,,,,,,,,,,,
493b0ae9-70d7-5431-ac22-c96b4fb7ac4f,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,fe0acd60-3ddc-11dd-a2ab-0050c2490048,"1,2-benzisothiazolin-3-one",Emissions to water,"Emissions to water, unspecified",kg,mapped,,,,,,,26344.0,,26344.0,,,,,,,,,,,,,,,,
